Date,Time,Temp,DO_sat,Turbidity,TotalP,Silicate,NH4,Salinity,pH
1/25/2023,8:03,25.7,102.1,13.9,26.26,1697.47,2.81,33.3,8.11
1/25/2023,8:37,24.9,100.6,16.8,18.8,1720.37,4.15,23.8,8.07
1/25/2023,9:15,26.8,101.6,2.62,10.73,604.37,1.88,35,8.06
1/25/2023,9:50,27.2,103.5,5.86,16.68,576.28,2.27,34.7,8.06
1/25/2023,10:24,27.3,101.8,3.47,24.07,822.08,1.5,34.6,8.15
1/25/2023,7:37,26.7,94.7,2.89,17.64,461.59,1.84,27.8,8.05
1/25/2023,8:28,26.8,99.6,2.8,14.32,169.92,2.89,28.1,7.99
1/25/2023,8:59,27.2,102.4,2.91,11,125.36,2.57,28.2,8.09
1/25/2023,10:42,27.4,106.1,1.19,14.41,72.9,2.8,29.6,8.11
1/25/2023,7:45,25.3,101.2,23.3,10.8,330.61,2.74,29.3,7.96
1/25/2023,8:20,25.4,97.8,5.48,15.37,451.55,8.69,27.7,7.91
1/25/2023,9:17,25.2,103.1,16.87,16.77,112.01,1.79,28.1,8.06
