Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll ug/L,ODO mg/L,Sal psu,Turbidity FNU,pH
5/1/2023,13:45:00,0,Sandhamn,0.3,7.21,36.58,4.15,8.16
5/1/2023,14:00:00,0,Sandhamn,0.5,7.24,36.58,5.68,8.16
5/1/2023,14:15:00,0,Sandhamn,0.42,7.26,36.58,2.23,8.16
5/1/2023,14:30:00,0,Sandhamn,0.34,7.24,36.58,1.83,8.16
5/1/2023,14:45:00,0,Sandhamn,0.24,7.39,36.58,1.13,8.17
5/1/2023,15:00:00,0,Sandhamn,0.3,7.52,36.58,1.14,8.18
5/1/2023,15:15:00,0,Sandhamn,0.27,7.54,36.58,1.26,8.18
5/1/2023,15:30:00,0,Sandhamn,0.29,7.45,36.58,1.57,8.18
5/1/2023,15:45:00,0,Sandhamn,0.32,7.2,36.58,1.17,8.2
5/1/2023,16:00:00,0,Sandhamn,0.33,7.31,36.59,1.13,8.2
5/1/2023,16:15:00,0,Sandhamn,0.4,7.08,36.59,1.3,8.2
5/1/2023,16:30:00,0,Sandhamn,0.34,7.08,36.59,1.42,8.2
5/1/2023,16:45:00,0,Sandhamn,0.25,7.07,36.59,1.05,8.19
5/1/2023,17:00:00,0,Sandhamn,0.26,7.03,36.59,1.21,8.19
5/1/2023,17:15:00,0,Sandhamn,0.4,6.73,36.59,1.37,8.18
5/1/2023,17:30:00,0,Sandhamn,0.38,6.68,36.59,1.08,8.17
5/1/2023,17:45:00,0,Sandhamn,0.35,6.63,36.59,1.04,8.17
5/1/2023,18:00:00,0,Sandhamn,0.33,6.53,36.59,1.32,8.16
5/1/2023,18:15:00,0,Sandhamn,0.29,6.48,36.59,1.01,8.16
5/1/2023,18:30:00,0,Sandhamn,0.43,6.38,36.59,0.94,8.15
